Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
 -bfRjoKTOj8,Choral Evensong Worship Service - 12/12/21,12-Dec-21,3805,5,10,18,718,105.4861,4,12940,3.31
0-KZHmegC0I,Easter Worship Service - 3/27/16 - Luke Powery,27-Mar-16,4514,5,4,7,2412,350.0075,0,7637,4.78
1I1KZvjvMPU,"Dr David Arcus performs the Chorale from Jongen's Quatre Pièces, Op. 37",5-Mar-09,253,5,3,12,3623,59.5896,5,5326,5.01
27Cxv4WLcwI,Sunday Morning Worship Service - 2/2/20 - Rev. Dr. Lauren Winner,2-Feb-20,5748,5,16,11,1694,362.6775,5,13673,4.12
2mcosBEiCUs,Sounds of Faith: Hear My Prayer by Stephanie Martin,6-May-20,428,5,9,22,1038,44.0549,2,12506,2.44
3lQH7SAkcxs,Organ Recital Series - 11/15/09 - Gerre Hancock Improvisation excerpt,29-Sep-14,1643,5,28,52,6890,446.4453,14,30017,6.01
4UW2BjAZmkI,Faith & Hope & Love Abide: Meditations on Resurrection,11-Apr-21,3401,5,55,41,1280,281.7477,12,19189,2.4
6UUIcsW0gAc,Choral Vespers Worship Service - 11/11/21,12-Nov-21,2592,5,2,9,357,47.7908,3,9374,1.93
94E4jlPzmBE,Sunday Service - 9/25/11 - Sam Wells,26-Sep-11,5052,5,0,5,1166,51.27,0,2751,2.36
9XYiwdHOfEw,Catholic Mass - 1/22/12 - 3rd Sunday in Ordinary Time,23-Jan-12,4702,5,6,11,5838,262.4831,7,5716,7.42
9zOY6npJTFg,Sunday Service - 1/20/13 - John Kinney,20-Jan-13,5168,5,25,16,4101,641.7792,2,10293,3.88
